region_type,starts,ends
skip,1392020,1462160
skip,1882910,1988860
skip,2677500,2878580
skip,6510640,6589120
silence,6589120,7635430
skip,7636430,7934630
skip,8864950,9007120
skip,11642250,11885040
skip,11909420,12401570
silence,13347680,19523860
skip,19524760,20135250
skip,25208290,25771420
skip,25939590,26030470
skip,26106240,26474610
skip,26552680,26657240
skip,27253140,27831800
silence,28630720,30031780
skip,34642930,34808910
skip,35580480,35667610
skip,38481190,38668250
skip,43881770,44268900
skip,44335090,44425180
skip,45050720,45220140
silence,46355990,51421190
silence,51983980,57599990
